Designator,Mid X,Mid Y,Rotation,Layer
U23,12.44,-46.91,90.0,top
U24,8.185,-30.6,0.0,top
U25,29.6375,-60.295,270.0,top
U26,48.2225,-59.7,270.0,top
U27,13.2175,-61.15,0.0,top
U28,47.19,-33.49,180.0,top
U29,28.085,-17.015,90.0,top
U3,105.799833,-51.53,270.0,top
U30,62.27,-24.345,270.0,top
U31,39.1475,-47.46,270.0,top
U32,63.505,-58.705,270.0,top
U33,73.4275,-58.565,270.0,top
U34,121.365,-35.585,90.0,top
U4,95.25,-51.52,270.0,top
U5,90.563334,-51.4417,270.0,bottom
U6,73.36,-51.4417,270.0,bottom
U7,107.766667,-51.4417,270.0,bottom
U8,124.97,-51.4417,270.0,bottom
U9,129.416317,-18.5867,270.0,top
